S,compulsoryS,female,xpr,xpr2,lnearn
18,10,1,10.39804,108.1191,12.42634
13,12,0,7.779948,60.5276,8.514166
12,10,1,33.79736,1142.261,.8101046
15,10,1,6.97715,48.68062,10.72763
12,12,0,21.78144,474.4312,8.053307
16,9,0,20.8677,435.4608,5.440314
10,9,0,3.926685,15.41886,6.142439
12,11,1,31.31274,980.4879,2.859709
16,9,0,25.85593,668.5292,5.187949
10,10,1,22.77429,518.6681,5.985211
17,10,0,24.79081,614.5842,3.58152
11,10,1,3.682644,13.56187,9.937105
15,11,1,23.19651,538.0782,7.140806
12,10,1,4.175552,17.43523,11.15568
12,9,1,15.60413,243.4889,9.732419
16,11,0,12.09747,146.3489,8.881217
16,12,1,19.26925,371.304,8.627328
16,9,0,15.17203,230.1905,7.77183
16,11,0,28.27882,799.6917,4.951017
15,10,0,33.03414,1091.255,.7246662
10,10,1,12.334,152.1276,9.350883
13,11,0,20.42761,417.2874,6.825493
11,11,0,33.20378,1102.491,.9007434
14,10,1,12.71582,161.6921,8.429609
12,12,0,6.313684,39.8626,8.889963
16,11,1,19.09232,364.5167,9.415548
18,12,1,19.6349,385.5291,8.317958
12,12,0,19.37739,375.4831,7.887751
13,11,0,7.721704,59.62471,10.14042
13,10,1,4.745737,22.52202,9.902
16,10,0,30.32554,919.6385,3.230965
15,9,1,3.90905,15.28068,10.90825
13,11,1,28.893,834.8054,4.534545
17,12,1,10.79329,116.495,9.768653
14,11,1,10.97189,120.3824,10.68323
12,12,0,14.3638,206.3188,7.51347
11,11,1,11.26404,126.8787,11.77514
13,11,0,22.41742,502.5405,5.695154
12,12,0,28.70703,824.0936,4.734369
14,10,1,33.16777,1100.101,3.732772
10,10,0,20.75512,430.775,6.926466
11,11,1,27.16786,738.0924,5.306544
13,11,1,28.6602,821.407,5.05114
11,11,1,1.033279,1.067666,8.788051
16,11,1,25.33214,641.7171,6.631069
14,11,1,31.66672,1002.781,2.057262
13,9,1,18.84224,355.0301,8.827018
10,12,1,16.2526,264.1469,7.73909
13,10,1,12.89275,166.2231,11.17981
11,11,0,25.06724,628.3663,3.274083
13,9,1,30.49006,929.6436,6.518081
12,12,1,10.59757,112.3085,10.0351
15,9,1,20.40528,416.3753,7.875509
13,10,1,4.208053,17.70771,11.35805
18,9,1,20.63112,425.6432,6.920413
11,10,1,14.2993,204.47,9.023183
12,10,1,34.85251,1214.697,2.085079
10,11,1,6.419915,41.21531,11.41141
18,10,1,34.69461,1203.716,3.581729
12,10,0,19.89855,395.9525,7.283983
15,11,1,7.338017,53.8465,10.36744
12,10,1,32.1175,1031.534,3.740364
14,11,1,31.07336,965.5538,6.671003
10,10,0,33.03006,1090.985,1.294258
10,10,0,2.785956,7.761552,8.357417
13,10,0,22.35985,499.963,4.560529
11,11,0,19.109,365.1539,6.759472
10,10,0,1.918786,3.681741,7.538795
14,10,0,10.7595,115.7669,8.026495
11,9,0,10.97958,120.5511,8.821836
16,10,0,30.15473,909.3076,4.986159
10,10,1,8.446281,71.33967,11.07144
14,12,0,12.68758,160.9747,8.325496
18,11,0,27.30368,745.4911,5.356544
17,11,0,3.575538,12.78447,8.510027
12,9,0,27.10392,734.6225,4.700113
18,11,1,24.01921,576.9227,6.409522
12,11,0,9.632202,92.77932,10.06164
12,11,1,28.51873,813.3179,4.307852
13,11,0,4.203479,17.66923,10.86432
12,10,1,17.54637,307.8749,9.7869
13,12,0,16.77137,281.2789,7.214181
15,12,0,15.97986,255.3558,7.007973
13,10,0,19.65569,386.3461,6.544588
12,10,1,24.0593,578.8499,6.524318
16,9,0,18.66596,348.4181,6.449572
15,10,1,14.75225,217.629,9.90774
11,11,0,17.14495,293.9494,8.357211
11,9,1,22.41954,502.6356,8.716071
12,12,0,3.583653,12.84257,10.87793
11,10,1,15.37789,236.4795,9.488218
17,11,0,11.54839,133.3652,9.233121
17,9,0,23.80834,566.8369,4.308748
10,10,1,28.3486,803.643,4.595123
10,10,0,18.60772,346.2473,7.52509
16,11,1,13.37244,178.822,10.64981
11,10,1,18.45695,340.6588,6.510107
17,10,1,16.4607,270.9546,8.678466
11,11,1,27.77318,771.3495,7.136986
15,12,0,26.13153,682.8567,2.938248
15,12,0,28.60373,818.1731,2.364808
16,9,1,3.67477,13.50394,10.2379
12,11,0,15.29154,233.8311,8.804752
11,11,0,4.161789,17.32049,10.74775
14,12,0,21.17163,448.2377,7.201307
12,12,1,9.051286,81.92577,10.19617
16,12,0,21.08719,444.6698,7.696632
11,11,1,1.426126,2.033835,10.50776
16,11,0,5.778554,33.39169,9.193387
11,11,0,23.13221,535.0989,6.637566
14,9,0,9.450737,89.31643,7.389094
17,10,0,25.97779,674.8457,3.217548
11,11,1,7.180244,51.55591,11.45067
15,10,0,1.177314,1.386068,7.959762
14,10,1,34.16817,1167.464,3.755367
11,11,1,3.69831,13.6775,9.330959
11,11,0,5.506486,30.32139,7.785254
11,11,1,18.96947,359.8407,6.822109
16,11,0,5.956377,35.47842,8.798133
14,10,0,3.968503,15.74902,9.729121
18,12,1,24.33341,592.1147,5.192413
11,10,1,24.72027,611.0917,5.458502
15,9,1,4.017844,16.14307,10.31179
11,9,1,30.35548,921.4552,5.12381
11,11,1,15.76951,248.6775,6.463355
16,11,1,5.184798,26.88213,8.981587
10,9,1,29.39265,863.9278,2.808025
18,9,1,28.10323,789.7915,6.061711
18,11,1,19.29959,372.474,10.3875
9,9,1,18.94085,358.7557,8.084233
15,11,0,16.52748,273.1576,8.222937
11,11,0,25.17795,633.9291,3.202636
12,11,1,34.31459,1177.491,4.267607
11,11,0,14.4133,207.7433,8.262439
13,11,0,4.865254,23.6707,9.798794
17,9,1,24.94019,622.0129,7.990829
17,9,1,33.28115,1107.635,3.940391
13,11,1,30.17699,910.6508,3.178314
16,11,1,8.412315,70.76705,10.05692
13,10,1,14.36759,206.4276,8.815674
13,11,1,19.67119,386.9557,7.371827
15,9,1,34.3421,1179.38,1.268196
9,9,1,9.857517,97.17065,8.685225
13,10,1,3.828768,14.65947,10.55256
17,11,0,33.05566,1092.677,1.587127
13,11,0,13.23838,175.2547,7.605434
15,11,0,10.9247,119.349,8.959435
14,10,0,17.54182,307.7155,10.00963
11,11,0,21.75953,473.4774,6.166912
10,9,0,30.60819,936.8616,2.117686
14,11,0,9.859814,97.21593,9.007454
11,11,1,10.42552,108.6914,8.169633
16,10,0,19.49398,380.0154,7.184907
13,12,0,29.90865,894.5272,1.096875
12,12,0,3.217993,10.35548,10.08126
12,12,0,18.21666,331.8468,7.544412
14,10,0,9.319263,86.84866,8.656787
16,12,1,9.319317,86.84967,10.83114
16,12,0,22.05465,486.4077,6.335662
11,10,1,15.27654,233.3726,6.321984
12,11,0,14.53773,211.3456,6.013132
16,9,1,12.47331,155.5834,10.35852
15,11,1,4.006004,16.04807,11.12947
16,11,0,20.80494,432.8457,7.886854
11,10,0,16.75415,280.7016,7.242537
10,10,0,24.24605,587.871,7.006658
14,9,1,18.48227,341.5944,7.877222
9,9,0,29.89405,893.6542,2.899238
11,10,0,6.729967,45.29246,11.93269
12,10,1,26.29141,691.2385,7.034539
15,10,1,9.988795,99.77603,10.69794
16,12,0,4.613499,21.28437,8.033701
13,11,1,4.685633,21.95515,10.50615
12,10,0,26.80474,718.4938,3.331842
16,10,1,34.34042,1179.264,1.998006
10,9,0,4.774226,22.79323,9.047474
10,10,1,2.50997,6.299949,10.32582
15,11,1,14.02124,196.5951,10.82035
15,10,0,31.72645,1006.567,2.375332
17,11,0,24.88606,619.3159,5.733925
9,9,1,13.61216,185.2909,6.728066
12,12,0,19.49707,380.1357,7.39807
14,11,1,13.57303,184.2271,9.909428
15,11,0,21.15747,447.6384,8.619574
18,11,0,32.80946,1076.46,1.684927
17,11,1,17.96023,322.57,9.360368
13,12,0,12.25807,150.2604,9.426608
10,10,0,28.4468,809.2206,1.769587
13,11,1,18.1972,331.138,8.98638
12,10,1,18.89031,356.8438,8.195719
11,11,0,16.41332,269.3972,7.675014
15,10,1,18.98939,360.5968,8.523121
18,11,0,23.20028,538.2532,5.659242
12,12,1,26.15788,684.2344,7.962236
11,10,1,6.102973,37.24628,7.90123
12,12,0,28.9726,839.4118,2.510391
18,11,0,7.091421,50.28825,10.1558
11,10,1,18.7787,352.6395,7.971392
17,11,1,9.651978,93.16067,10.74803
11,11,1,2.696561,7.271443,11.66839
12,10,1,2.996569,8.979426,10.29283
11,11,1,11.23937,126.3234,10.04476
12,11,1,28.06813,787.8202,4.186688
10,10,1,23.62599,558.1872,7.362012
16,11,0,3.752447,14.08086,9.06807
12,10,0,23.04779,531.2008,5.925371
14,10,0,25.75856,663.5032,4.676201
13,11,0,8.976255,80.57316,10.17052
9,9,1,29.74297,884.6442,4.496017
13,11,1,24.34599,592.7274,5.888118
12,9,0,25.67899,659.4103,5.716871
11,11,1,14.61882,213.71,9.087809
11,9,1,32.18021,1035.566,4.726086
12,12,1,16.28905,265.3331,9.046605
16,12,0,4.318498,18.64942,8.444267
9,9,0,5.530962,30.59154,8.376853
15,9,0,13.13966,172.6508,7.995564
18,11,1,26.3288,693.2055,6.333853
16,11,0,24.35334,593.0852,5.4512
11,12,0,7.141894,51.00665,8.8629
11,11,0,18.68862,349.2646,8.244343
11,11,1,13.30929,177.1373,8.77938
16,9,0,17.25068,297.5859,7.241841
15,10,1,13.84024,191.5522,9.943887
16,11,1,21.77486,474.1444,7.271735
9,9,1,6.894512,47.53429,10.69232
14,10,0,18.22207,332.0438,7.891905
14,10,1,21.17836,448.5229,8.048458
14,11,1,24.70101,610.1401,8.902227
15,10,0,4.017356,16.13915,6.290614
9,9,0,21.60252,466.6689,4.415508
12,11,1,18.11739,328.24,9.30023
17,9,0,19.31244,372.9704,6.713556
15,12,0,15.30153,234.1369,9.077991
9,9,0,9.175972,84.19846,8.797379
12,12,0,32.03322,1026.127,2.576643
11,11,0,11.55913,133.6135,7.27659
15,11,1,27.04585,731.478,7.293791
10,10,0,24.827,616.38,4.477016
11,10,1,27.99397,783.6625,4.915196
11,11,1,21.97432,482.8706,8.365785
14,10,0,21.78058,474.3936,8.553861
14,10,1,29.12811,848.4467,3.995713
10,10,1,17.45474,304.6678,8.576246
18,12,1,18.13699,328.9503,10.74912
15,11,1,17.11525,292.9316,7.881754
14,11,0,21.43428,459.4285,7.904902
11,11,1,31.09531,966.9182,4.842032
14,11,0,30.93622,957.0499,2.218243
16,9,0,21.36834,456.606,6.94802
12,10,1,9.968253,99.36607,9.791789
15,11,0,32.98017,1087.692,1.222769
16,10,1,33.60777,1129.482,2.24189
16,12,1,5.936147,35.23784,10.89613
16,11,0,25.01113,625.5567,6.975875
17,9,1,19.79073,391.673,8.81703
12,12,1,17.95053,322.2216,7.403693
16,10,1,6.854049,46.97799,10.98491
15,10,0,13.18071,173.7311,7.268525
14,10,0,26.61969,708.6081,4.789009
17,11,0,14.298,204.4328,9.21683
10,10,1,6.21382,38.61156,9.269674
18,11,0,22.95503,526.9334,6.12559
15,11,0,20.61343,424.9133,6.036586
12,12,0,22.21181,493.3643,5.439855
13,10,0,4.321068,18.67163,8.77711
12,11,1,25.2508,637.6028,6.834998
13,11,0,18.30818,335.1894,5.618398
14,11,1,5.144604,26.46695,10.26538
10,11,1,15.11231,228.382,7.059083
17,10,1,3.011251,9.067636,11.76113
14,11,0,25.28864,639.5151,5.035427
14,11,0,23.27673,541.806,6.768018
13,10,0,17.45776,304.7735,8.85574
17,10,1,27.41772,751.7316,5.348279
10,10,1,25.94421,673.1021,6.444947
16,10,1,2.875014,8.265703,9.575436
10,10,1,15.99348,255.7913,7.375254
11,10,0,25.17605,633.8337,4.529757
10,10,0,15.23039,231.9648,8.614588
17,11,1,25.05489,627.7475,6.754142
13,11,1,34.49129,1189.649,3.083703
14,9,1,3.086256,9.524977,8.372475
17,10,1,23.47815,551.2235,7.659325
18,12,1,23.25246,540.6768,9.699144
17,10,1,1.560051,2.433759,11.75796
11,11,1,30.30721,918.5272,3.361004
11,10,0,2.124524,4.513604,7.140759
15,11,0,23.1273,534.8719,4.961598
11,11,0,7.773041,60.42016,8.708752
18,11,1,13.14094,172.6843,10.57069
9,9,1,5.979635,35.75603,9.226614
11,11,0,21.78566,474.6148,5.120153
10,10,1,30.67185,940.7626,2.650612
15,12,0,5.895727,34.75959,11.33748
11,10,0,24.70174,610.176,4.619627
17,11,0,32.7004,1069.316,2.451958
14,9,1,17.56545,308.545,7.422402
14,9,0,26.59274,707.1736,5.288007
16,9,0,2.217534,4.917457,12.05957
12,10,1,22.57911,509.816,7.311082
12,11,0,6.381671,40.72572,10.18874
10,10,1,31.5039,992.4956,2.963788
14,12,0,25.77737,664.4727,6.034229
13,11,0,1.443402,2.083408,9.948706
10,9,1,26.22952,687.9875,4.925693
12,12,1,11.23916,126.3187,10.38335
10,10,1,6.219448,38.68153,8.720017
12,11,0,19.54234,381.9029,7.354924
13,10,1,1.459549,2.130282,12.10147
14,11,1,18.14809,329.3531,7.920408
14,10,1,34.29691,1176.278,4.254859
11,11,0,8.2445,67.97179,8.600683
16,11,1,15.63283,244.3853,10.90148
13,11,1,7.200708,51.8502,9.215767
13,10,0,12.20911,149.0625,7.441241
14,11,1,13.47973,181.7031,11.03468
10,10,1,25.19433,634.7544,5.130547
18,10,0,33.79541,1142.13,.4038223
16,11,0,6.628616,43.93855,6.950658
16,10,1,15.79053,249.3407,10.13154
12,9,0,3.96368,15.71076,8.796609
18,10,1,31.48048,991.0209,5.366451
13,11,1,14.49277,210.0404,7.804217
16,10,1,7.784376,60.59651,11.1473
14,10,0,17.1221,293.1663,7.022573
12,11,0,29.22787,854.2684,3.845784
11,11,0,27.86631,776.531,3.839911
16,10,1,21.60893,466.946,8.859394
11,9,1,19.05788,363.2028,7.280486
13,10,0,16.37289,268.0714,8.567875
13,10,0,15.94695,254.3051,8.714776
15,9,1,27.23492,741.7408,5.485195
11,10,0,4.611443,21.26541,8.535748
10,9,0,16.66563,277.7432,8.616488
15,11,0,8.491271,72.10168,10.33885
10,10,0,33.70475,1136.01,2.004556
13,12,1,5.827435,33.95899,9.875266
13,10,0,21.32961,454.9524,6.119779
10,10,1,18.02106,324.7586,9.54663
15,9,1,15.52645,241.0707,9.13306
14,12,0,17.26838,298.1969,5.859375
10,9,1,11.76236,138.3531,9.21336
12,10,0,33.42159,1117.003,2.98187
15,10,0,6.371973,40.60204,8.672624
11,11,0,18.01143,324.4115,7.063421
15,11,0,26.41157,697.5709,3.886997
11,10,0,1.561988,2.439806,9.603193
14,12,1,5.416224,29.33548,10.16758
17,11,0,3.601098,12.96791,10.75883
12,12,1,9.446356,89.23363,11.80075
11,11,0,31.51394,993.1281,1.675531
16,10,0,16.10589,259.3997,7.415167
18,10,1,23.10473,533.8284,7.25087
12,12,1,31.28417,978.6993,3.662171
11,11,0,19.88196,395.2924,6.137926
18,9,1,1.663057,2.765758,9.596248
14,10,0,30.18578,911.1813,2.483072
12,11,1,34.345,1179.579,2.292565
14,11,1,32.58272,1061.634,-.1535208
12,9,1,5.677928,32.23886,10.43891
17,10,0,1.939859,3.763054,9.815133
15,11,0,27.8754,777.038,6.46904
18,9,1,15.58303,242.831,7.546862
12,12,1,18.05087,325.8337,9.110434
15,10,1,28.76218,827.2631,7.046025
13,12,1,22.26698,495.8182,5.396166
16,10,0,7.061735,49.8681,7.380593
13,11,1,27.77106,771.2316,7.5879
10,10,1,33.2576,1106.068,2.549748
14,10,1,20.67024,427.2589,6.521008
18,10,0,1.564326,2.447115,7.547481
10,10,0,33.96704,1153.76,1.177083
13,11,0,17.60906,310.0791,8.350188
10,9,1,26.32139,692.8158,4.747478
14,10,0,22.03111,485.3698,5.428534
12,12,0,27.36877,749.0495,1.686902
10,10,0,30.50421,930.5067,2.047059
17,10,1,29.15738,850.1529,7.090933
16,11,1,6.397593,40.9292,9.662189
15,10,0,22.69782,515.1912,7.346841
17,11,1,29.48146,869.1566,3.41804
17,10,0,21.18563,448.8307,6.726151
18,10,0,6.241856,38.96076,8.209505
14,10,0,23.66018,559.8041,7.623447
11,9,1,9.392495,88.21896,7.552224
16,10,0,4.421898,19.55318,8.560169
12,11,1,21.70242,470.9951,6.164436
11,11,1,4.75896,22.6477,9.866439
11,11,0,7.408084,54.87971,10.46331
11,11,0,15.36245,236.0048,5.909016
11,11,0,15.11455,228.4495,8.581787
12,12,0,12.18331,148.4329,7.228741
13,12,1,4.276306,18.28679,9.541364
16,9,0,34.07397,1161.035,4.52113
8,12,0,22.84104,521.7131,6.743612
12,10,0,4.628644,21.42435,9.93772
12,12,1,34.75115,1207.642,2.871937
10,10,1,6.914142,47.80536,8.660377
17,10,0,23.34608,545.0396,5.949426
12,10,1,13.78412,190.002,9.408979
17,12,1,11.77822,138.7265,10.15417
11,12,0,2.929035,8.579245,10.03895
11,11,0,10.62836,112.9621,6.986037
12,10,1,21.183,448.7195,7.260902
14,12,1,10.29028,105.8899,8.754852
11,11,1,15.64527,244.7745,7.882258
13,9,1,30.00372,900.2231,4.907269
13,10,1,21.05491,443.3094,9.430435
14,9,0,19.93088,397.2399,8.836095
15,11,0,13.53825,183.2842,7.099737
14,9,1,11.70133,136.9211,9.001458
14,11,1,10.46609,109.5391,10.10485
17,12,0,29.88294,892.9902,3.826573
10,10,0,16.96292,287.7408,6.161227
12,10,1,6.775935,45.9133,6.797437
11,11,0,1.119018,1.252201,9.588988
12,12,0,17.26197,297.9756,9.409715
12,12,0,22.40825,502.1299,7.06292
16,10,1,13.14339,172.7488,10.05252
17,11,0,18.70883,350.0204,6.61076
11,11,1,31.82565,1012.872,5.9065
18,10,1,7.740644,59.91756,11.75571
17,11,0,16.84453,283.7383,7.45623
11,10,1,17.99946,323.9805,7.672609
11,11,0,11.70212,136.9396,8.578336
18,9,0,11.188,125.1714,9.281652
17,11,0,25.92454,672.0817,5.380122
18,10,1,16.94821,287.2418,9.700496
14,9,0,5.686441,32.33561,9.311242
11,11,0,26.07387,679.8465,3.267038
17,9,1,10.1938,103.9135,10.90446
18,9,1,13.556,183.7652,10.61866
15,12,0,10.09663,101.942,10.38401
11,11,0,20.98957,440.5622,6.83683
17,10,0,32.05554,1027.557,3.762144
11,10,1,8.689395,75.50558,10.54909
18,9,1,16.68437,278.3683,8.084159
16,11,0,9.214948,84.91526,6.388605
15,10,1,28.19959,795.2171,4.643645
13,11,0,31.28118,978.5123,1.306785
16,10,0,2.597993,6.749568,10.62248
13,10,0,3.832089,14.68491,10.05864
11,11,1,15.92998,253.7642,10.60519
14,10,1,33.54474,1125.25,3.668652
16,10,0,19.50124,380.2982,7.958449
14,10,0,8.233542,67.79122,9.14702
8,10,1,6.962,48.46944,9.593514
11,11,0,12.23694,149.7426,8.6076
10,10,1,28.82845,831.0793,4.748903
12,12,0,30.18866,911.3553,3.064378
13,9,1,24.32895,591.8979,6.482546
12,11,0,6.838904,46.77061,8.068371
18,10,1,33.7432,1138.603,1.948288
9,10,1,17.07499,291.5553,6.931689
14,11,1,26.39348,696.6159,6.336602
10,9,1,30.1653,909.9453,3.840187
13,9,1,3.133195,9.816909,10.46186
17,11,0,23.72695,562.9681,4.253776
17,11,0,12.69021,161.0415,8.955653
16,10,1,4.270434,18.23661,10.46602
11,9,0,31.84103,1013.851,1.689697
12,12,1,4.574953,20.93019,8.880963
17,9,0,28.83349,831.3702,5.49861
10,12,0,9.029089,81.52444,8.879038
17,11,0,15.01721,225.5165,7.219933
16,11,0,26.05254,678.735,4.640174
11,9,1,23.62189,557.9938,4.871945
12,12,0,12.51344,156.5862,8.45902
17,9,0,16.26303,264.4862,7.45038
15,9,1,14.93182,222.9594,10.05663
17,10,1,24.33742,592.31,6.492313
8,12,0,23.41949,548.4724,4.079586
12,11,0,19.8387,393.5739,6.911193
15,11,0,22.47895,505.3034,7.046833
13,11,1,14.6589,214.8833,10.33614
14,11,1,22.192,492.4848,8.93911
11,11,1,29.6098,876.7401,4.102838
12,12,0,8.632377,74.51793,8.312321
12,9,1,27.92982,780.075,4.656085
11,11,0,10.90748,118.9732,7.288132
15,10,0,25.04475,627.2393,4.810219
11,11,1,5.207818,27.12136,9.763627
16,11,0,29.24514,855.2782,5.17685
12,12,1,24.14423,582.9439,7.08414
10,10,0,27.82991,774.5038,4.265154
13,9,0,25.35361,642.8058,9.32043
17,10,1,19.35603,374.6559,9.558126
11,11,0,17.50531,306.4358,6.9216
10,9,1,8.590307,73.79338,9.438588
11,11,1,1.347304,1.815228,10.2786
18,10,0,7.309675,53.43135,10.37768
13,9,0,8.956231,80.21407,9.636793
15,11,0,6.620002,43.82443,8.611168
10,10,1,22.96128,527.2204,8.452962
18,11,0,7.226414,52.22105,7.452397
16,12,0,20.96024,439.3315,7.11529
14,10,0,11.26656,126.9354,10.16671
17,11,1,26.24537,688.8195,7.173747
9,9,0,26.50495,702.5125,3.409945
8,12,0,33.88364,1148.101,-1.054393
14,10,1,3.786151,14.33494,11.62761
10,9,0,17.34961,301.0091,6.315261
17,9,0,14.75889,217.825,6.585443
11,11,0,29.46568,868.2261,1.674093
12,10,0,31.55313,995.6,5.326688
11,11,1,24.44535,597.575,6.807725
11,11,0,8.901709,79.24042,10.31837
11,11,1,26.63287,709.3096,5.007255
11,9,0,21.46632,460.803,3.502568
16,11,0,26.75345,715.7469,4.821258
15,11,0,5.900392,34.81462,8.65436
10,10,0,11.95266,142.866,6.230141
10,10,1,25.98506,675.2235,5.582979
16,11,0,11.31289,127.9816,8.630283
17,12,1,13.38341,179.1156,8.49037
18,10,0,7.79651,60.78556,10.72554
12,11,1,1.985124,3.940718,11.10252
12,11,1,26.5364,704.1806,4.080401
12,9,1,26.93134,725.2968,6.566486
18,10,1,6.376002,40.6534,11.56322
14,11,0,25.81098,666.2067,6.523461
16,10,1,18.7433,351.3111,10.1104
11,11,0,6.643888,44.14125,8.144258
18,11,0,5.194386,26.98165,8.426788
10,10,0,2.040664,4.164309,8.310283
14,11,1,25.20033,635.0566,6.926429
14,9,1,33.18441,1101.205,3.467224
16,10,1,23.07408,532.4131,7.863801
18,11,1,32.18097,1035.615,4.385734
15,12,1,34.39291,1182.872,4.135666
14,9,1,17.33601,300.5371,8.322506
12,10,1,26.71534,713.7096,4.559174
10,10,0,3.804917,14.47739,8.953734
11,10,1,18.56589,344.6922,8.06708
11,11,1,30.95461,958.1878,3.567155
11,11,1,25.33695,641.9609,6.344671
11,11,1,1.410841,1.990472,11.14669
15,10,0,5.631114,31.70944,8.025411
15,9,0,22.48025,505.3615,7.139539
18,11,0,23.71904,562.5928,6.025846
17,12,0,5.68252,32.29104,8.171113
10,10,1,19.24539,370.3849,8.06424
16,10,0,13.54548,183.4801,8.738892
12,12,1,12.41823,154.2123,8.160989
13,11,0,20.89685,436.6784,6.36432
11,10,0,14.20529,201.7902,7.987177
15,11,1,22.96191,527.2492,10.14735
16,10,0,27.62618,763.2059,4.804498
13,9,0,13.23396,175.1378,7.482771
15,11,1,5.335827,28.47105,12.36919
10,10,1,29.40394,864.5915,3.993161
10,10,0,34.30803,1177.041,.0951276
10,10,1,8.172112,66.78341,10.16693
15,10,0,25.61432,656.0933,6.819183
10,10,0,2.799501,7.837204,9.756804
10,10,1,28.45888,809.908,3.570457
18,11,0,22.29892,497.2418,6.351011
16,10,0,3.224477,10.39725,8.797167
11,11,0,34.17222,1167.74,-.534562
16,12,1,33.80307,1142.648,3.460655
11,9,0,7.56752,57.26735,7.986957
15,11,1,7.777794,60.49408,11.13568
10,10,0,1.725407,2.977028,7.064159
9,9,0,22.20299,492.9726,3.706159
9,9,1,33.50527,1122.603,.7178775
17,11,1,30.21069,912.6855,5.24665
14,10,0,16.6313,276.6003,6.257452
15,12,0,7.50531,56.32967,8.036271
16,9,1,4.664474,21.75732,12.06461
11,11,1,25.11454,630.7403,7.789951
16,12,1,25.43431,646.9043,8.02188
11,11,1,1.093762,1.196315,9.174934
15,11,0,10.70363,114.5677,8.26475
12,12,1,15.12321,228.7115,9.683378
11,11,1,6.361243,40.46541,9.408786
13,9,1,28.16878,793.4801,5.294649
14,12,0,3.697695,13.67295,9.110605
17,11,0,23.54884,554.548,6.164269
12,10,0,3.935885,15.49119,9.01261
18,10,1,28.5104,812.843,4.008394
17,10,1,5.171952,26.74909,10.94871
15,12,1,31.25736,977.0228,4.846755
14,11,0,25.71254,661.1349,4.998279
16,9,1,27.69149,766.8185,7.217049
12,11,0,19.53017,381.4275,6.701773
11,9,1,29.94914,896.9508,3.843132
12,11,0,13.92359,193.8665,6.824234
10,10,1,5.293627,28.02248,12.11242
12,9,1,25.73846,662.4683,4.622063
9,9,1,3.867918,14.96079,12.16254
16,11,1,24.1355,582.5225,8.075995
13,9,0,17.15237,294.2039,5.376131
13,10,0,24.48507,599.5188,5.520914
15,10,0,6.350749,40.33202,8.363724
15,11,1,25.27632,638.8923,5.885258
18,10,0,4.880179,23.81615,9.376851
12,11,0,7.776225,60.46967,9.853296
10,11,0,22.1422,490.2772,4.727457
17,10,0,2.998152,8.988917,8.879455
15,11,0,30.74132,945.0289,3.589117
16,12,0,21.55507,464.621,4.811554
15,9,0,12.84033,164.874,8.040077
11,11,1,1.19995,1.439881,11.89322
9,9,0,13.49142,182.0184,7.300702
11,11,0,13.23382,175.134,5.526804
14,10,0,11.42399,130.5076,9.672685
18,10,0,7.544845,56.92469,7.881418
12,10,0,7.330055,53.72971,9.684635
17,9,0,15.63908,244.5807,8.907645
11,11,1,29.04334,843.5155,3.587243
17,10,1,18.82219,354.275,8.954901
17,11,0,9.870558,97.42791,9.699621
13,10,1,30.31572,919.0428,2.55467
14,10,1,14.89376,221.8241,10.0339
16,9,0,21.22514,450.5066,8.89157
12,12,1,18.88058,356.4763,10.23105
10,9,1,25.43721,647.0516,6.680718
13,10,0,17.03397,290.156,6.56587
15,9,0,15.2227,231.7305,8.624393
12,10,1,11.07162,122.5809,9.846665
16,12,0,21.37966,457.0899,5.430829
11,11,0,23.89352,570.9004,6.239405
9,9,0,25.8172,666.5278,6.400304
12,12,1,10.51183,110.4985,8.315178
17,10,1,13.11091,171.8961,11.15181
11,11,0,14.91131,222.3471,7.686792
11,11,0,10.12062,102.427,7.518585
15,9,1,23.18845,537.7041,7.759187
16,10,1,18.09495,327.4272,9.787619
18,11,0,3.25253,10.57895,11.49182
10,10,1,11.28215,127.287,9.725651
11,11,0,19.54491,382.0036,7.713769
13,10,0,23.40779,547.9249,7.522222
12,11,0,33.41617,1116.641,.5306881
17,10,0,17.29147,298.995,9.628021
15,11,0,33.19496,1101.905,1.507812
14,11,1,15.91903,253.4156,8.854494
16,10,1,21.36973,456.6654,7.752926
11,11,0,29.81051,888.6667,4.151262
12,11,0,9.748239,95.02815,8.743822
10,10,0,15.98425,255.4963,4.529401
16,10,1,9.199896,84.63808,11.57374
17,11,1,22.27998,496.3977,7.108967
16,11,1,16.29488,265.523,9.415792
15,10,0,31.7435,1007.65,2.878361
11,11,0,29.51266,870.9968,3.877312
15,9,1,30.42917,925.9342,4.120727
17,11,1,5.020805,25.20849,11.20469
13,12,0,13.15661,173.0963,8.135448
10,10,0,16.3661,267.8491,8.65266
11,10,1,18.66578,348.4114,7.761771
11,11,0,2.334651,5.450597,5.880038
12,11,0,17.69189,313.0031,6.912998
14,11,0,22.05583,486.4596,5.201003
12,12,1,18.34183,336.4229,6.918533
9,9,1,20.88643,436.2431,7.197784
18,11,1,11.03244,121.7148,9.999137
18,10,0,19.73057,389.2955,8.131321
10,10,1,18.58522,345.4105,6.629113
12,10,0,3.878358,15.04166,10.5037
10,9,1,10.51162,110.4941,9.702534
16,10,0,10.41783,108.5311,8.516003
13,10,1,22.73173,516.7313,5.819089
15,11,1,11.15249,124.378,11.58868
18,11,1,32.99325,1088.554,2.357823
17,11,1,27.50902,756.746,6.764956
10,10,0,14.27198,203.6894,7.242211
